Modelo,Marca,Ano,KM,Preço,Carroceria
Jetta GLI,Volkswagen,2024,30000,250000,Sedan
Polo GTS,Volkswagen,2025,0,160000,Hatch
Audi A3,Audi,2020, 90000,190000,Sedan
Nivus,Volkswagen,2022,140000,100000,SUV
Pulse,Fiat, 2019,170000,86000,Hatch
Uno,Fiat, 2014,250000,35000,Hatch
Onix,Chevrolet,2023,70000,96000,Sedan
Tiggo 7,Caoa Chery,2022,55000,120000,SUV
Song,BYD,2025,1000,200000,SUV
Creta,Hyundai,2020,80000,90000,SUV
HB20,Hyundai,2021,70000,75000,Hatch
Corolla,Toyota,2019,100000,110000,Sedan
Civic,Honda,2020,90000,130000,Sedan
Renegade,Jeep,2018,110000,85000,SUV
Compass,Jeep,2022,40000,160000,SUV
Kwid,Renault,2023,10000,60000,Hatch
Mobi,Fiat,2022,35000,55000,Hatch
Argo,Fiat,2021,60000,70000,Hatch
Strada,Fiat,2024,2000,120000,Picape
Toro,Fiat,2020,95000,115000,Picape
Saveiro,Volkswagen,2019,130000,70000,Picape
Hilux,Toyota,2017,180000,180000,Picape
S10,Chevrolet,2021,70000,190000,Picape
Ranger,Ford,2020,100000,200000,Picape
Tracker,Chevrolet,2023,15000,125000,SUV
Kicks,Nissan,2019,90000,92000,SUV
HR-V,Honda,2018,100000,98000,SUV
Duster,Renault,2022,45000,90000,SUV
T-Cross,Volkswagen,2021,55000,115000,SUV
Virtus,Volkswagen,2020,80000,90000,Sedan
Cronos,Fiat,2023,20000,85000,Sedan
Yaris,Toyota,2022,30000,88000,Hatch
Fit,Honda,2017,120000,70000,Hatch
City,Honda,2021,50000,100000,Sedan
208,Peugeot,2023,10000,80000,Hatch
C4 Cactus,Citroën,2020,70000,82000,SUV
Kardian,Renault,2025,0,130000,SUV
Taos,Volkswagen,2023,22000,170000,SUV
Bronco Sport,Ford,2022,30000,230000,SUV
Commander,Jeep,2024,5000,260000,SUV
Fastback,Fiat,2023,12000,140000,SUV
Pulse Abarth,Fiat,2024,3000,150000,SUV
Dolphin,BYD,2024,2000,150000,Hatch
Yuan Plus,BYD,2023,10000,230000,SUV
Tiggo 5x,Caoa Cherry,2024,1000,115000,SUV
Tiggo 8,Caoa Cherry,2022,60000,170000,SUV
Amarok,Volkswagen,2019,110000,190000,Picape
Frontier,Nissan,2021,80000,180000,Picape
L200 Triton,Mitsubishi,2020,90000,175000,Picape
Eclipse Cross,Mitsubishi,2022,35000,160000,SUV
Outlander,Mitsubishi,2019,100000,130000,SUV
Versa,Nissan,2023,18000,95000,Sedan
Sentra,Nissan,2024,4000,170000,Sedan
Cruze,Chevrolet,2019,85000,100000,Sedan
Equinox,Chevrolet,2020,70000,150000,SUV
Sandero,Renault,2020,90000,58000,Hatch
Logan,Renault,2021,75000,65000,Sedan
Oroch,Renault,2023,20000,110000,Picape
Maverick,Ford,2023,10000,220000,Picape
Mustang,Ford,2019,40000,350000,Sedan
BMW 320i,BMW,2020,50000,230000,Sedan
Mercedes-Benz C180,Mercedes-Benz,2019,60000,210000,Sedan
Audi Q3,Audi,2021,40000,240000,SUV
Volvo XC60,Volvo,2020,70000,280000,SUV
Land Rover Discovery,Land Rover,2018,90000,320000,SUV
Porsche Macan,Porsche,2019,50000,400000,SUV
Fiat 500e,Fiat,2023,5000,180000,Hatch
Peugeot e-208 GT,Peugeot,2024,1000,200000,Hatch
Mini Cooper S,Mini,2022,20000,190000,Hatch
JAC E-JS1,JAC,2023,8000,100000,Hatch
Caoa Chery iCar,Caoa Chery,2024,500,120000,Hatch
GWM Haval H6,GWM,2024,3000,210000,SUV
GWM Ora 03,GWM,2024,1000,150000,Hatch
Corolla Cross,Toyota,2023,15000,170000,SUV
